month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
10,5,28.553846153846152,26.923076923076923,51.53846153846154,1001.246153846154,63.84615384615385,4.307692307692308,452.84615384615387,136.84615384615384,420.61538461538464
10,6,27.646153846153844,25.684615384615384,54.46153846153846,1000.1076923076924,246.92307692307693,4.130769230769231,339.38461538461536,148.76923076923077,381.3076923076923
10,7,27.325,25.65,48.75,998.3,336.4166666666667,3.4250000000000003,356.3333333333333,170.0,412.9166666666667
10,8,26.03846153846154,25.54615384615385,48.23076923076923,998.546153846154,341.9230769230769,2.630769230769231,552.0769230769231,98.07692307692308,434.46153846153845
10,9,25.71538461538461,25.023076923076925,51.07692307692308,998.7846153846154,165.69230769230768,3.0307692307692307,347.0769230769231,159.23076923076923,372.84615384615387
10,10,25.653846153846157,19.923076923076923,48.76923076923077,998.9153846153846,348.15384615384613,3.3076923076923075,496.5384615384616,124.0,415.7692307692308
10,11,25.361538461538466,20.523076923076925,46.84615384615385,999.3153846153848,330.15384615384613,3.1,351.7692307692308,181.07692307692307,367.1538461538461
10,12,25.0,21.79230769230769,49.0,999.7230769230767,322.2307692307692,3.4384615384615387,296.0769230769231,199.84615384615384,348.84615384615387
10,13,25.161538461538463,18.46923076923077,48.92307692307692,1000.9230769230768,345.53846153846155,2.6538461538461537,540.0,98.0,423.3076923076923
10,14,25.07692307692308,20.692307692307693,47.15384615384615,1000.8153846153848,351.46153846153845,3.0384615384615383,504.46153846153845,109.84615384615384,412.1538461538461
10,15,25.383333333333336,23.78333333333333,48.75,1000.875,294.1666666666667,3.458333333333333,520.1666666666666,124.25,436.3333333333333
10,16,25.525,25.9,49.333333333333336,1000.9583333333334,344.3333333333333,3.7083333333333335,424.0,148.08333333333334,398.75
10,17,25.025,23.96666666666667,54.833333333333336,998.7166666666668,348.5,2.983333333333333,247.91666666666663,213.25,328.75
10,18,25.45833333333333,21.325,51.66666666666666,997.6416666666668,348.1666666666667,2.891666666666667,564.5,106.41666666666669,435.75
